REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
BEL,TIME11,ADMRASTH,F,30-34Y,NUM,105
BEL,TIME11,ADMRASTH,F,35-39Y,NUM,132
BEL,TIME11,ADMRASTH,F,40-44Y,NUM,110
BEL,TIME11,ADMRASTH,F,45-49Y,NUM,138
BEL,TIME11,ADMRASTH,F,50-54Y,NUM,184
BEL,TIME11,ADMRASTH,F,55-59Y,NUM,144
BEL,TIME11,ADMRASTH,F,60-64Y,NUM,166
BEL,TIME11,ADMRASTH,F,65-69Y,NUM,143
BEL,TIME11,ADMRASTH,F,70-74Y,NUM,156
BEL,TIME11,ADMRASTH,F,75-79Y,NUM,181
BEL,TIME11,ADMRASTH,F,80-84Y,NUM,202
BEL,TIME11,ADMRASTH,F,85Y_OVER,NUM,125
BEL,TIME12,ADMRASTH,M,15-19Y,NUM,98
BEL,TIME12,ADMRASTH,M,20-24Y,NUM,92
BEL,TIME12,ADMRASTH,M,25-29Y,NUM,79
BEL,TIME12,ADMRASTH,M,30-34Y,NUM,79
BEL,TIME12,ADMRASTH,M,35-39Y,NUM,82
BEL,TIME12,ADMRASTH,M,40-44Y,NUM,99
BEL,TIME12,ADMRASTH,M,45-49Y,NUM,86
BEL,TIME12,ADMRASTH,M,50-54Y,NUM,106
BEL,TIME12,ADMRASTH,M,55-59Y,NUM,82
BEL,TIME12,ADMRASTH,M,60-64Y,NUM,69
BEL,TIME12,ADMRASTH,M,65-69Y,NUM,70
BEL,TIME12,ADMRASTH,M,70-74Y,NUM,76
BEL,TIME12,ADMRASTH,M,75-79Y,NUM,58
BEL,TIME12,ADMRASTH,M,80-84Y,NUM,59
BEL,TIME12,ADMRASTH,M,85Y_OVER,NUM,28
BEL,TIME12,ADMRASTH,F,15-19Y,NUM,96
BEL,TIME12,ADMRASTH,F,20-24Y,NUM,142
BEL,TIME12,ADMRASTH,F,25-29Y,NUM,103
BEL,TIME12,ADMRASTH,F,30-34Y,NUM,111
BEL,TIME12,ADMRASTH,F,35-39Y,NUM,119
BEL,TIME12,ADMRASTH,F,40-44Y,NUM,134
BEL,TIME12,ADMRASTH,F,45-49Y,NUM,167
BEL,TIME12,ADMRASTH,F,50-54Y,NUM,191
BEL,TIME12,ADMRASTH,F,55-59Y,NUM,154
BEL,TIME12,ADMRASTH,F,60-64Y,NUM,160
BEL,TIME12,ADMRASTH,F,65-69Y,NUM,140
BEL,TIME12,ADMRASTH,F,70-74Y,NUM,150
BEL,TIME12,ADMRASTH,F,75-79Y,NUM,178
BEL,TIME12,ADMRASTH,F,80-84Y,NUM,191
BEL,TIME12,ADMRASTH,F,85Y_OVER,NUM,146
BEL,TIME13,ADMRASTH,M,15-19Y,NUM,86
BEL,TIME13,ADMRASTH,M,20-24Y,NUM,65
BEL,TIME13,ADMRASTH,M,25-29Y,NUM,84
BEL,TIME13,ADMRASTH,M,30-34Y,NUM,72
BEL,TIME13,ADMRASTH,M,35-39Y,NUM,80
BEL,TIME13,ADMRASTH,M,40-44Y,NUM,108
BEL,TIME13,ADMRASTH,M,45-49Y,NUM,109
BEL,TIME13,ADMRASTH,M,50-54Y,NUM,107
BEL,TIME13,ADMRASTH,M,55-59Y,NUM,111
BEL,TIME13,ADMRASTH,M,60-64Y,NUM,74
BEL,TIME13,ADMRASTH,M,65-69Y,NUM,56
BEL,TIME13,ADMRASTH,M,70-74Y,NUM,57
BEL,TIME13,ADMRASTH,M,75-79Y,NUM,70
BEL,TIME13,ADMRASTH,M,80-84Y,NUM,67
BEL,TIME13,ADMRASTH,M,85Y_OVER,NUM,49
BEL,TIME13,ADMRASTH,F,15-19Y,NUM,108
BEL,TIME13,ADMRASTH,F,20-24Y,NUM,121
BEL,TIME13,ADMRASTH,F,25-29Y,NUM,101
BEL,TIME13,ADMRASTH,F,30-34Y,NUM,111
BEL,TIME13,ADMRASTH,F,35-39Y,NUM,114
BEL,TIME13,ADMRASTH,F,40-44Y,NUM,150
BEL,TIME13,ADMRASTH,F,45-49Y,NUM,174
BEL,TIME13,ADMRASTH,F,50-54Y,NUM,192
BEL,TIME13,ADMRASTH,F,55-59Y,NUM,164
BEL,TIME13,ADMRASTH,F,60-64Y,NUM,163
BEL,TIME13,ADMRASTH,F,65-69Y,NUM,148
BEL,TIME13,ADMRASTH,F,70-74Y,NUM,152
BEL,TIME13,ADMRASTH,F,75-79Y,NUM,189
BEL,TIME13,ADMRASTH,F,80-84Y,NUM,197
BEL,TIME13,ADMRASTH,F,85Y_OVER,NUM,193
BEL,TIME14,ADMRASTH,M,15-19Y,NUM,91
BEL,TIME14,ADMRASTH,M,20-24Y,NUM,76
BEL,TIME14,ADMRASTH,M,25-29Y,NUM,69
BEL,TIME14,ADMRASTH,M,30-34Y,NUM,100
BEL,TIME14,ADMRASTH,M,35-39Y,NUM,84
BEL,TIME14,ADMRASTH,M,40-44Y,NUM,112
BEL,TIME14,ADMRASTH,M,45-49Y,NUM,109
BEL,TIME14,ADMRASTH,M,50-54Y,NUM,117
BEL,TIME14,ADMRASTH,M,55-59Y,NUM,90
BEL,TIME14,ADMRASTH,M,60-64Y,NUM,68
BEL,TIME14,ADMRASTH,M,65-69Y,NUM,78
BEL,TIME14,ADMRASTH,M,70-74Y,NUM,71
BEL,TIME14,ADMRASTH,M,75-79Y,NUM,77
BEL,TIME14,ADMRASTH,M,80-84Y,NUM,49
BEL,TIME14,ADMRASTH,M,85Y_OVER,NUM,55
BEL,TIME14,ADMRASTH,F,15-19Y,NUM,109
BEL,TIME14,ADMRASTH,F,20-24Y,NUM,105
BEL,TIME14,ADMRASTH,F,25-29Y,NUM,132
BEL,TIME14,ADMRASTH,F,30-34Y,NUM,129
BEL,TIME14,ADMRASTH,F,35-39Y,NUM,148
BEL,TIME14,ADMRASTH,F,40-44Y,NUM,185
BEL,TIME14,ADMRASTH,F,45-49Y,NUM,157
BEL,TIME14,ADMRASTH,F,50-54Y,NUM,149
