REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2013,PRDMPCDD,F,20-29Y,NUM,237,Y20T29
AUS,2013,PRDMPCDD,F,30-39Y,NUM,1596,Y30T39
AUS,2013,PRDMPCDD,F,40-49Y,NUM,8724,Y40T49
AUS,2013,PRDMPCDD,F,50-59Y,NUM,27737,Y50T59
AUS,2013,PRDMPCDD,F,60-69Y,NUM,48091,Y60T69
AUS,2013,PRDMPCDD,F,70-79Y,NUM,41442,Y70T79
AUS,2013,PRDMPCDD,F,80Y_OVER,NUM,20974,Y_GE80
AUS,2014,PRDMPCDD,M,0-9Y,NUM,18,Y0T9
AUS,2014,PRDMPCDD,M,10-19Y,NUM,59,Y10T19
AUS,2014,PRDMPCDD,M,20-29Y,NUM,335,Y20T29
AUS,2014,PRDMPCDD,M,30-39Y,NUM,2752,Y30T39
AUS,2014,PRDMPCDD,M,40-49Y,NUM,14011,Y40T49
AUS,2014,PRDMPCDD,M,50-59Y,NUM,40882,Y50T59
AUS,2014,PRDMPCDD,M,60-69Y,NUM,73754,Y60T69
AUS,2014,PRDMPCDD,M,70-79Y,NUM,57203,Y70T79
AUS,2014,PRDMPCDD,M,80Y_OVER,NUM,21465,Y_GE80
AUS,2014,PRDMPCDD,F,0-9Y,NUM,10,Y0T9
AUS,2014,PRDMPCDD,F,10-19Y,NUM,25,Y10T19
AUS,2014,PRDMPCDD,F,20-29Y,NUM,217,Y20T29
AUS,2014,PRDMPCDD,F,30-39Y,NUM,1593,Y30T39
AUS,2014,PRDMPCDD,F,40-49Y,NUM,8822,Y40T49
AUS,2014,PRDMPCDD,F,50-59Y,NUM,28124,Y50T59
AUS,2014,PRDMPCDD,F,60-69Y,NUM,49305,Y60T69
AUS,2014,PRDMPCDD,F,70-79Y,NUM,42362,Y70T79
AUS,2014,PRDMPCDD,F,80Y_OVER,NUM,21183,Y_GE80
AUS,2015,PRDMPCDD,M,0-9Y,NUM,12,Y0T9
AUS,2015,PRDMPCDD,M,10-19Y,NUM,54,Y10T19
AUS,2015,PRDMPCDD,M,20-29Y,NUM,358,Y20T29
AUS,2015,PRDMPCDD,M,30-39Y,NUM,2937,Y30T39
AUS,2015,PRDMPCDD,M,40-49Y,NUM,14655,Y40T49
AUS,2015,PRDMPCDD,M,50-59Y,NUM,42583,Y50T59
AUS,2015,PRDMPCDD,M,60-69Y,NUM,76668,Y60T69
AUS,2015,PRDMPCDD,M,70-79Y,NUM,60460,Y70T79
AUS,2015,PRDMPCDD,M,80Y_OVER,NUM,22626,Y_GE80
AUS,2015,PRDMPCDD,F,0-9Y,NUM,11,Y0T9
AUS,2015,PRDMPCDD,F,10-19Y,NUM,23,Y10T19
AUS,2015,PRDMPCDD,F,20-29Y,NUM,245,Y20T29
AUS,2015,PRDMPCDD,F,30-39Y,NUM,1729,Y30T39
AUS,2015,PRDMPCDD,F,40-49Y,NUM,9196,Y40T49
AUS,2015,PRDMPCDD,F,50-59Y,NUM,29068,Y50T59
AUS,2015,PRDMPCDD,F,60-69Y,NUM,51090,Y60T69
AUS,2015,PRDMPCDD,F,70-79Y,NUM,43563,Y70T79
AUS,2015,PRDMPCDD,F,80Y_OVER,NUM,21530,Y_GE80
AUS,2016,PRDMPCDD,M,0-9Y,NUM,23,Y0T9
AUS,2016,PRDMPCDD,M,10-19Y,NUM,92,Y10T19
AUS,2016,PRDMPCDD,M,20-29Y,NUM,338,Y20T29
AUS,2016,PRDMPCDD,M,30-39Y,NUM,3154,Y30T39
AUS,2016,PRDMPCDD,M,40-49Y,NUM,15168,Y40T49
AUS,2016,PRDMPCDD,M,50-59Y,NUM,44130,Y50T59
AUS,2016,PRDMPCDD,M,60-69Y,NUM,79455,Y60T69
AUS,2016,PRDMPCDD,M,70-79Y,NUM,63474,Y70T79
AUS,2016,PRDMPCDD,M,80Y_OVER,NUM,23403,Y_GE80
AUS,2016,PRDMPCDD,F,0-9Y,NUM,12,Y0T9
AUS,2016,PRDMPCDD,F,10-19Y,NUM,43,Y10T19
AUS,2016,PRDMPCDD,F,20-29Y,NUM,278,Y20T29
AUS,2016,PRDMPCDD,F,30-39Y,NUM,1828,Y30T39
AUS,2016,PRDMPCDD,F,40-49Y,NUM,9703,Y40T49
AUS,2016,PRDMPCDD,F,50-59Y,NUM,29873,Y50T59
AUS,2016,PRDMPCDD,F,60-69Y,NUM,53002,Y60T69
AUS,2016,PRDMPCDD,F,70-79Y,NUM,44752,Y70T79
AUS,2016,PRDMPCDD,F,80Y_OVER,NUM,21668,Y_GE80
AUS,2017,PRDMPCDD,M,0-9Y,NUM,23,Y0T9
AUS,2017,PRDMPCDD,M,10-19Y,NUM,66,Y10T19
AUS,2017,PRDMPCDD,M,20-29Y,NUM,369,Y20T29
AUS,2017,PRDMPCDD,M,30-39Y,NUM,3433,Y30T39
AUS,2017,PRDMPCDD,M,40-49Y,NUM,15981,Y40T49
AUS,2017,PRDMPCDD,M,50-59Y,NUM,46232,Y50T59
AUS,2017,PRDMPCDD,M,60-69Y,NUM,83182,Y60T69
AUS,2017,PRDMPCDD,M,70-79Y,NUM,69767,Y70T79
AUS,2017,PRDMPCDD,M,80Y_OVER,NUM,25408,Y_GE80
AUS,2017,PRDMPCDD,F,0-9Y,NUM,7,Y0T9
AUS,2017,PRDMPCDD,F,10-19Y,NUM,45,Y10T19
AUS,2017,PRDMPCDD,F,20-29Y,NUM,318,Y20T29
AUS,2017,PRDMPCDD,F,30-39Y,NUM,1960,Y30T39
AUS,2017,PRDMPCDD,F,40-49Y,NUM,10379,Y40T49
AUS,2017,PRDMPCDD,F,50-59Y,NUM,31322,Y50T59
AUS,2017,PRDMPCDD,F,60-69Y,NUM,55775,Y60T69
AUS,2017,PRDMPCDD,F,70-79Y,NUM,48253,Y70T79
AUS,2017,PRDMPCDD,F,80Y_OVER,NUM,22890,Y_GE80
AUS,2018,PRDMPCDD,M,0-9Y,NUM,24,Y0T9
AUS,2018,PRDMPCDD,M,10-19Y,NUM,64,Y10T19
AUS,2018,PRDMPCDD,M,20-29Y,NUM,415,Y20T29
AUS,2018,PRDMPCDD,M,30-39Y,NUM,3715,Y30T39
AUS,2018,PRDMPCDD,M,40-49Y,NUM,16865,Y40T49
AUS,2018,PRDMPCDD,M,50-59Y,NUM,48403,Y50T59
AUS,2018,PRDMPCDD,M,60-69Y,NUM,86245,Y60T69
AUS,2018,PRDMPCDD,M,70-79Y,NUM,77010,Y70T79
AUS,2018,PRDMPCDD,M,80Y_OVER,NUM,27792,Y_GE80
AUS,2018,PRDMPCDD,F,0-9Y,NUM,6,Y0T9
AUS,2018,PRDMPCDD,F,10-19Y,NUM,37,Y10T19
AUS,2018,PRDMPCDD,F,20-29Y,NUM,307,Y20T29
AUS,2018,PRDMPCDD,F,30-39Y,NUM,2060,Y30T39
AUS,2018,PRDMPCDD,F,40-49Y,NUM,10819,Y40T49
AUS,2018,PRDMPCDD,F,50-59Y,NUM,32672,Y50T59
AUS,2018,PRDMPCDD,F,60-69Y,NUM,58140,Y60T69
AUS,2018,PRDMPCDD,F,70-79Y,NUM,52302,Y70T79
AUS,2018,PRDMPCDD,F,80Y_OVER,NUM,24436,Y_GE80
AUS,2019,PRDMPCDD,M,0-9Y,NUM,18,Y0T9
AUS,2019,PRDMPCDD,M,10-19Y,NUM,42,Y10T19
AUS,2019,PRDMPCDD,M,20-29Y,NUM,439,Y20T29
