REF-AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2018,MPIPEXPL,M,Y16T24,CRUDE_RATE_CPAT,59.7,YY1TT2
AUS,2018,MPIPEXPL,M,Y25T44,CRUDE_RATE_CPAT,58.3,YY2TT4
AUS,2018,MPIPEXPL,M,Y45T64,CRUDE_RATE_CPAT,58.9,YY4TT6
AUS,2018,MPIPEXPL,M,Y_GE65,CRUDE_RATE_CPAT,57.3,YY_TE6
AUS,2018,MPIPEXPL,M,Total_16,CRUDE_RATE_CPAT,58.3,YToTal
AUS,2018,MPIPEXPL,F,Y16T24,CRUDE_RATE_CPAT,53.3,YY1TT2
AUS,2018,MPIPEXPL,F,Y25T44,CRUDE_RATE_CPAT,53.1,YY2TT4
AUS,2018,MPIPEXPL,F,Y45T64,CRUDE_RATE_CPAT,54.8,YY4TT6
AUS,2018,MPIPEXPL,F,Y_GE65,CRUDE_RATE_CPAT,59.3,YY_TE6
AUS,2018,MPIPEXPL,F,Total_16,CRUDE_RATE_CPAT,53.8,YToTal
AUS,2018,MPIPEXPL,T,Y16T24,CRUDE_RATE_CPAT,56,YY1TT2
AUS,2018,MPIPEXPL,T,Y25T44,CRUDE_RATE_CPAT,55.8,YY2TT4
AUS,2018,MPIPEXPL,T,Y45T64,CRUDE_RATE_CPAT,56.8,YY4TT6
AUS,2018,MPIPEXPL,T,Y_GE65,CRUDE_RATE_CPAT,58.4,YY_TE6
AUS,2018,MPIPEXPL,T,Total_16,CRUDE_RATE_CPAT,53.6,YToTal
AUS,2019,MPIPEXPL,M,Y16T24,CRUDE_RATE_CPAT,59.3,YY1TT2
AUS,2019,MPIPEXPL,M,Y25T44,CRUDE_RATE_CPAT,58.4,YY2TT4
AUS,2019,MPIPEXPL,M,Y45T64,CRUDE_RATE_CPAT,58.9,YY4TT6
AUS,2019,MPIPEXPL,M,Y_GE65,CRUDE_RATE_CPAT,62.8,YY_TE6
AUS,2019,MPIPEXPL,M,Total_16,CRUDE_RATE_CPAT,58.7,YToTal
AUS,2019,MPIPEXPL,F,Y16T24,CRUDE_RATE_CPAT,58.5,YY1TT2
AUS,2019,MPIPEXPL,F,Y25T44,CRUDE_RATE_CPAT,54.2,YY2TT4
AUS,2019,MPIPEXPL,F,Y45T64,CRUDE_RATE_CPAT,57.2,YY4TT6
AUS,2019,MPIPEXPL,F,Y_GE65,CRUDE_RATE_CPAT,57.3,YY_TE6
