REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
CAN,2018,ICISCDSR,T,Y75T84,STAND_SE,0.29031684
CAN,2018,ICISCDSR,T,Y_GE85,STAND_SE,0.301413468
CAN,2019,ICISCDSR,M,Y45T54,STAND_SE,0.630701576
CAN,2019,ICISCDSR,M,Y55T64,STAND_SE,0.458571414
CAN,2019,ICISCDSR,M,Y65T74,STAND_SE,0.385388217
CAN,2019,ICISCDSR,M,Y75T84,STAND_SE,0.412125843
CAN,2019,ICISCDSR,M,Y_GE85,STAND_SE,0.477788601
CAN,2019,ICISCDSR,F,Y45T54,STAND_SE,0.857740609
CAN,2019,ICISCDSR,F,Y55T64,STAND_SE,0.679318471
CAN,2019,ICISCDSR,F,Y65T74,STAND_SE,0.481715455
CAN,2019,ICISCDSR,F,Y75T84,STAND_SE,0.407624712
CAN,2019,ICISCDSR,F,Y_GE85,STAND_SE,0.377765279
CAN,2019,ICISCDSR,T,Y45T54,STAND_SE,0.509288936
CAN,2019,ICISCDSR,T,Y55T64,STAND_SE,0.381287651
CAN,2019,ICISCDSR,T,Y65T74,STAND_SE,0.301029498
CAN,2019,ICISCDSR,T,Y75T84,STAND_SE,0.290235839
CAN,2019,ICISCDSR,T,Y_GE85,STAND_SE,0.296436223
CAN,2017,ICISCACM,M,Y45T54,NUM,25
CAN,2017,ICISCACM,M,Y55T64,NUM,110
CAN,2017,ICISCACM,M,Y65T74,NUM,230
CAN,2017,ICISCACM,M,Y75T84,NUM,380
CAN,2017,ICISCACM,M,Y_GE85,NUM,435
CAN,2017,ICISCACM,F,Y45T54,NUM,20
CAN,2017,ICISCACM,F,Y55T64,NUM,65
CAN,2017,ICISCACM,F,Y65T74,NUM,175
CAN,2017,ICISCACM,F,Y75T84,NUM,380
CAN,2017,ICISCACM,F,Y_GE85,NUM,765
CAN,2018,ICISCACM,M,Y45T54,NUM,20
CAN,2018,ICISCACM,M,Y55T64,NUM,105
CAN,2018,ICISCACM,M,Y65T74,NUM,245
CAN,2018,ICISCACM,M,Y75T84,NUM,405
CAN,2018,ICISCACM,M,Y_GE85,NUM,465
CAN,2018,ICISCACM,F,Y45T54,NUM,15
CAN,2018,ICISCACM,F,Y55T64,NUM,65
CAN,2018,ICISCACM,F,Y65T74,NUM,180
CAN,2018,ICISCACM,F,Y75T84,NUM,400
CAN,2018,ICISCACM,F,Y_GE85,NUM,740
CAN,2019,ICISCACM,M,Y45T54,NUM,25
CAN,2019,ICISCACM,M,Y55T64,NUM,125
CAN,2019,ICISCACM,M,Y65T74,NUM,290
CAN,2019,ICISCACM,M,Y75T84,NUM,425
CAN,2019,ICISCACM,M,Y_GE85,NUM,485
CAN,2019,ICISCACM,F,Y45T54,NUM,25
CAN,2019,ICISCACM,F,Y55T64,NUM,85
CAN,2019,ICISCACM,F,Y65T74,NUM,180
CAN,2019,ICISCACM,F,Y75T84,NUM,335
CAN,2019,ICISCACM,F,Y_GE85,NUM,825
CAN,2017,ICISCACM,M,Y45T54,DEN,895
CAN,2017,ICISCACM,M,Y55T64,DEN,2100
CAN,2017,ICISCACM,M,Y65T74,DEN,2940
CAN,2017,ICISCACM,M,Y75T84,DEN,2815
CAN,2017,ICISCACM,M,Y_GE85,DEN,1625
CAN,2017,ICISCACM,F,Y45T54,DEN,505
CAN,2017,ICISCACM,F,Y55T64,DEN,1110
CAN,2017,ICISCACM,F,Y65T74,DEN,2010
CAN,2017,ICISCACM,F,Y75T84,DEN,2845
CAN,2017,ICISCACM,F,Y_GE85,DEN,2835
CAN,2018,ICISCACM,M,Y45T54,DEN,925
CAN,2018,ICISCACM,M,Y55T64,DEN,2290
CAN,2018,ICISCACM,M,Y65T74,DEN,3085
CAN,2018,ICISCACM,M,Y75T84,DEN,2870
CAN,2018,ICISCACM,M,Y_GE85,DEN,1695
CAN,2018,ICISCACM,F,Y45T54,DEN,490
CAN,2018,ICISCACM,F,Y55T64,DEN,1180
CAN,2018,ICISCACM,F,Y65T74,DEN,2015
CAN,2018,ICISCACM,F,Y75T84,DEN,2940
CAN,2018,ICISCACM,F,Y_GE85,DEN,2780
CAN,2019,ICISCACM,M,Y45T54,DEN,920
CAN,2019,ICISCACM,M,Y55T64,DEN,2230
CAN,2019,ICISCACM,M,Y65T74,DEN,3150
CAN,2019,ICISCACM,M,Y75T84,DEN,3075
CAN,2019,ICISCACM,M,Y_GE85,DEN,1715
CAN,2019,ICISCACM,F,Y45T54,DEN,570
CAN,2019,ICISCACM,F,Y55T64,DEN,1195
CAN,2019,ICISCACM,F,Y65T74,DEN,2120
CAN,2019,ICISCACM,F,Y75T84,DEN,2830
CAN,2019,ICISCACM,F,Y_GE85,DEN,2895
CAN,2017,ICISCACM,M,Y45T54,CRUDE_RATE_MPOP,2.793296089
CAN,2017,ICISCACM,M,Y55T64,CRUDE_RATE_MPOP,5.238095238
CAN,2017,ICISCACM,M,Y65T74,CRUDE_RATE_MPOP,7.823129252
CAN,2017,ICISCACM,M,Y75T84,CRUDE_RATE_MPOP,13.4991119
CAN,2017,ICISCACM,M,Y_GE85,CRUDE_RATE_MPOP,26.76923077
CAN,2017,ICISCACM,F,Y45T54,CRUDE_RATE_MPOP,3.96039604
CAN,2017,ICISCACM,F,Y55T64,CRUDE_RATE_MPOP,5.855855856
CAN,2017,ICISCACM,F,Y65T74,CRUDE_RATE_MPOP,8.706467662
CAN,2017,ICISCACM,F,Y75T84,CRUDE_RATE_MPOP,13.35676626
CAN,2017,ICISCACM,F,Y_GE85,CRUDE_RATE_MPOP,26.98412698
CAN,2017,ICISCACM,T,Y45T54,CRUDE_RATE_MPOP,3.214285714
CAN,2017,ICISCACM,T,Y55T64,CRUDE_RATE_MPOP,5.451713396
CAN,2017,ICISCACM,T,Y65T74,CRUDE_RATE_MPOP,8.181818182
CAN,2017,ICISCACM,T,Y75T84,CRUDE_RATE_MPOP,13.42756184
CAN,2017,ICISCACM,T,Y_GE85,CRUDE_RATE_MPOP,26.9058296
CAN,2018,ICISCACM,M,Y45T54,CRUDE_RATE_MPOP,2.162162162
CAN,2018,ICISCACM,M,Y55T64,CRUDE_RATE_MPOP,4.585152838
CAN,2018,ICISCACM,M,Y65T74,CRUDE_RATE_MPOP,7.94165316
CAN,2018,ICISCACM,M,Y75T84,CRUDE_RATE_MPOP,14.11149826
CAN,2018,ICISCACM,M,Y_GE85,CRUDE_RATE_MPOP,27.43362832
CAN,2018,ICISCACM,F,Y45T54,CRUDE_RATE_MPOP,3.06122449
CAN,2018,ICISCACM,F,Y55T64,CRUDE_RATE_MPOP,5.508474576
CAN,2018,ICISCACM,F,Y65T74,CRUDE_RATE_MPOP,8.933002481
CAN,2018,ICISCACM,F,Y75T84,CRUDE_RATE_MPOP,13.60544218
CAN,2018,ICISCACM,F,Y_GE85,CRUDE_RATE_MPOP,26.61870504
CAN,2018,ICISCACM,T,Y45T54,CRUDE_RATE_MPOP,2.473498233
CAN,2018,ICISCACM,T,Y55T64,CRUDE_RATE_MPOP,4.899135447
CAN,2018,ICISCACM,T,Y65T74,CRUDE_RATE_MPOP,8.333333333
